Deduped.author.names,Author.Keywords
"Pfister, H.",Ranking visualization
"Pfister, H.",ranking
"Pfister, H.",scoring
"Pfister, H.",multi-attribute
"Pfister, H.",multifactorial
"Pfister, H.",multi-faceted
"Pfister, H.",stacked bar charts
"Streit, M.",Ranking visualization
"Streit, M.",ranking
"Streit, M.",scoring
"Streit, M.",multi-attribute
"Streit, M.",multifactorial
"Streit, M.",multi-faceted
"Streit, M.",stacked bar charts
"Lins, L.",Data cube
"Lins, L.",Data structures
"Lins, L.",Interactive exploration
"Klosowski, J.T.",Data cube
"Klosowski, J.T.",Data structures
"Klosowski, J.T.",Interactive exploration
"Scheidegger, C.E.",Data cube
"Scheidegger, C.E.",Data structures
"Scheidegger, C.E.",Interactive exploration
"Lehmann, D.J.",Start plot
"Lehmann, D.J.",multivariate visualization
"Lehmann, D.J.",visual analytics
"Theisel, H.",Start plot
"Theisel, H.",multivariate visualization
"Theisel, H.",visual analytics
"Gleicher, M.",Psychophysics
"Gleicher, M.",Information Visualization
"Gleicher, M.",Perceptual Study
"Correll, M.",Psychophysics
"Correll, M.",Information Visualization
"Correll, M.",Perceptual Study
"Nothelfer, C.",Psychophysics
"Nothelfer, C.",Information Visualization
"Nothelfer, C.",Perceptual Study
"Franconeri, S.",Psychophysics
"Franconeri, S.",Information Visualization
"Franconeri, S.",Perceptual Study
"Alsallakh, B.",Multi-valued attributes
"Alsallakh, B.",set-typed data
"Alsallakh, B.",overlapping sets
"Alsallakh, B.",visualization technique
"Alsallakh, B.",scalability
"Aigner, W.",Multi-valued attributes
"Aigner, W.",set-typed data
"Aigner, W.",overlapping sets
"Aigner, W.",visualization technique
"Aigner, W.",scalability
"Miksch, S.",Multi-valued attributes
"Miksch, S.",set-typed data
"Miksch, S.",overlapping sets
"Miksch, S.",visualization technique
"Miksch, S.",scalability
"Hauser, H.",Multi-valued attributes
"Hauser, H.",set-typed data
"Hauser, H.",overlapping sets
"Hauser, H.",visualization technique
"Hauser, H.",scalability
"Fink, M.",Scatter plot
"Fink, M.",aspect ratio
"Fink, M.",Delaunay triangulation
"Haunert, J.-H.",Scatter plot
"Haunert, J.-H.",aspect ratio
"Haunert, J.-H.",Delaunay triangulation
"Spoerhase, J.",Scatter plot
"Spoerhase, J.",aspect ratio
"Spoerhase, J.",Delaunay triangulation
"Wolff, A.",Scatter plot
"Wolff, A.",aspect ratio
"Wolff, A.",Delaunay triangulation
Bongshin Lee,Storytelling
Bongshin Lee,data presentation
Bongshin Lee,sketch
Bongshin Lee,pen and touch
Bongshin Lee,interaction
Bongshin Lee,visualization
"Kazi, R.H.",Storytelling
"Kazi, R.H.",data presentation
"Kazi, R.H.",sketch
"Kazi, R.H.",pen and touch
"Kazi, R.H.",interaction
"Kazi, R.H.",visualization
"Smith, G.",Storytelling
"Smith, G.",data presentation
"Smith, G.",sketch
"Smith, G.",pen and touch
"Smith, G.",interaction
"Smith, G.",visualization
"Perin, C.",Visual knowledge discovery
"Perin, C.",visual knowledge representation
"Perin, C.",sport analytics
"Perin, C.",visual aggregation
"Vuillemot, R.",Visual knowledge discovery
"Vuillemot, R.",visual knowledge representation
"Vuillemot, R.",sport analytics
"Vuillemot, R.",visual aggregation
"Fekete, J.",Visual knowledge discovery
"Fekete, J.",visual knowledge representation
"Fekete, J.",sport analytics
"Fekete, J.",visual aggregation
Shixia Liu,Storylines
Shixia Liu,story-telling visualization
Shixia Liu,user interactions
Shixia Liu,level-of-detail
Shixia Liu,optimization
Yingcai Wu,Storylines
Yingcai Wu,story-telling visualization
Yingcai Wu,user interactions
Yingcai Wu,level-of-detail
Yingcai Wu,optimization
Enxun Wei,Storylines
Enxun Wei,story-telling visualization
Enxun Wei,user interactions
Enxun Wei,level-of-detail
Enxun Wei,optimization
Mengchen Liu,Storylines
Mengchen Liu,story-telling visualization
Mengchen Liu,user interactions
Mengchen Liu,level-of-detail
Mengchen Liu,optimization
Yang Liu,Storylines
Yang Liu,story-telling visualization
Yang Liu,user interactions
Yang Liu,level-of-detail
Yang Liu,optimization
"Basole, R.C.",Business ecosystems
"Basole, R.C.",market research
"Basole, R.C.",strategic analysis
"Basole, R.C.",design study
"Basole, R.C.",interaction
"Basole, R.C.",network visualization
"Clear, T.",Business ecosystems
"Clear, T.",market research
"Clear, T.",strategic analysis
"Clear, T.",design study
"Clear, T.",interaction
"Clear, T.",network visualization
Mengdie Hu,Business ecosystems
Mengdie Hu,market research
Mengdie Hu,strategic analysis
Mengdie Hu,design study
Mengdie Hu,interaction
Mengdie Hu,network visualization
"Mehrotra, H.",Business ecosystems
"Mehrotra, H.",market research
"Mehrotra, H.",strategic analysis
"Mehrotra, H.",design study
"Mehrotra, H.",interaction
"Mehrotra, H.",network visualization
"Stasko, J.",Business ecosystems
"Stasko, J.",market research
"Stasko, J.",strategic analysis
"Stasko, J.",design study
"Stasko, J.",interaction
"Stasko, J.",network visualization
"Chevalier, F.",Concrete scale
"Chevalier, F.",scale cognition
"Chevalier, F.",visual comparison
"Chevalier, F.",graphic composition
"Chevalier, F.",visual notation
"Vuillemot, R.",Concrete scale
"Vuillemot, R.",scale cognition
"Vuillemot, R.",visual comparison
"Vuillemot, R.",graphic composition
"Vuillemot, R.",visual notation
"Gali, G.",Concrete scale
"Gali, G.",scale cognition
"Gali, G.",visual comparison
"Gali, G.",graphic composition
"Gali, G.",visual notation
"Ferstay, J.A.",Information visualization
"Ferstay, J.A.",design study
"Ferstay, J.A.",bioinformatics
"Ferstay, J.A.",genetic variants
"Nielsen, C.B.",Information visualization
"Nielsen, C.B.",design study
"Nielsen, C.B.",bioinformatics
"Nielsen, C.B.",genetic variants
"Munzner, T.",Information visualization
"Munzner, T.",design study
"Munzner, T.",bioinformatics
"Munzner, T.",genetic variants
"Maguire, E.",Workflow visualization
"Maguire, E.",motif detection
"Maguire, E.",glyph-based visualization
"Maguire, E.",glyph generation
"Maguire, E.",state-transition-based algorithm
"Rocca-Serra, P.",Workflow visualization
"Rocca-Serra, P.",motif detection
"Rocca-Serra, P.",glyph-based visualization
"Rocca-Serra, P.",glyph generation
"Rocca-Serra, P.",state-transition-based algorithm
"Sansone, S.-A.",Workflow visualization
"Sansone, S.-A.",motif detection
"Sansone, S.-A.",glyph-based visualization
"Sansone, S.-A.",glyph generation
"Sansone, S.-A.",state-transition-based algorithm
"Davies, J.",Workflow visualization
"Davies, J.",motif detection
"Davies, J.",glyph-based visualization
"Davies, J.",glyph generation
"Davies, J.",state-transition-based algorithm
"Chen, M.",Workflow visualization
"Chen, M.",motif detection
"Chen, M.",glyph-based visualization
"Chen, M.",glyph generation
"Chen, M.",state-transition-based algorithm
"Huron, S.",Design
"Huron, S.",Information Visualization
"Huron, S.",Dynamic visualization
"Huron, S.",Dynamic data
"Huron, S.",Data stream
"Huron, S.",Real time
"Huron, S.",Metaphor
"Vuillemot, R.",Design
"Vuillemot, R.",Information Visualization
"Vuillemot, R.",Dynamic visualization
"Vuillemot, R.",Dynamic data
"Vuillemot, R.",Data stream
"Vuillemot, R.",Real time
"Vuillemot, R.",Metaphor
"Fekete, J.",Design
"Fekete, J.",Information Visualization
"Fekete, J.",Dynamic visualization
"Fekete, J.",Dynamic data
"Fekete, J.",Data stream
"Fekete, J.",Real time
"Fekete, J.",Metaphor
"Taimouri, V.",Medial surface
"Taimouri, V.",shape space
"Taimouri, V.",comparative visualization
"Taimouri, V.",left ventricle diagnosis
Jing Hua,Medial surface
Jing Hua,shape space
Jing Hua,comparative visualization
Jing Hua,left ventricle diagnosis
"Guerra-Gomez, J.",Information visualization
"Guerra-Gomez, J.",Tree comparison
"Pack, M.L.",Information visualization
"Pack, M.L.",Tree comparison
"Plaisant, C.",Information visualization
"Plaisant, C.",Tree comparison
"Shneiderman, B.",Information visualization
"Shneiderman, B.",Tree comparison
"Vehlow, C.",Overlapping community visualization
"Vehlow, C.",fuzzy clustering
"Vehlow, C.",graph visualization
"Vehlow, C.",uncertainty visualization
"Reinhardt, T.",Overlapping community visualization
"Reinhardt, T.",fuzzy clustering
"Reinhardt, T.",graph visualization
"Reinhardt, T.",uncertainty visualization
"Weiskopf, D.",Overlapping community visualization
"Weiskopf, D.",fuzzy clustering
"Weiskopf, D.",graph visualization
"Weiskopf, D.",uncertainty visualization
"Sambasivan, R.R.",Distributed systems
"Sambasivan, R.R.",human factors
"Sambasivan, R.R.",problem diagnosis
"Sambasivan, R.R.",visualization
"Shafer, I.",Distributed systems
"Shafer, I.",human factors
"Shafer, I.",problem diagnosis
"Shafer, I.",visualization
"Mazurek, M.L.",Distributed systems
"Mazurek, M.L.",human factors
"Mazurek, M.L.",problem diagnosis
"Mazurek, M.L.",visualization
"Ganger, G.R.",Distributed systems
"Ganger, G.R.",human factors
"Ganger, G.R.",problem diagnosis
"Ganger, G.R.",visualization
"Borkin, M.",Visualization taxonomy
"Borkin, M.",information visualization
"Borkin, M.",memorability
"Vo, A.A.",Visualization taxonomy
"Vo, A.A.",information visualization
"Vo, A.A.",memorability
"Bylinskii, Z.",Visualization taxonomy
"Bylinskii, Z.",information visualization
"Bylinskii, Z.",memorability
"Isola, P.",Visualization taxonomy
"Isola, P.",information visualization
"Isola, P.",memorability
"Sunkavalli, S.",Visualization taxonomy
"Sunkavalli, S.",information visualization
"Sunkavalli, S.",memorability
"Oliva, A.",Visualization taxonomy
"Oliva, A.",information visualization
"Oliva, A.",memorability
"Pfister, H.",Visualization taxonomy
"Pfister, H.",information visualization
"Pfister, H.",memorability
"Jackson, B.",Scientific visualization
"Jackson, B.",3D interaction
"Jackson, B.",tangible interaction
"Jackson, B.",microscopy visualization
Tung Yuen Lau,Scientific visualization
Tung Yuen Lau,3D interaction
Tung Yuen Lau,tangible interaction
Tung Yuen Lau,microscopy visualization
"Schroeder, D.",Scientific visualization
"Schroeder, D.",3D interaction
"Schroeder, D.",tangible interaction
"Schroeder, D.",microscopy visualization
"Toussaint, K.C.",Scientific visualization
"Toussaint, K.C.",3D interaction
"Toussaint, K.C.",tangible interaction
"Toussaint, K.C.",microscopy visualization
"Keefe, D.F.",Scientific visualization
"Keefe, D.F.",3D interaction
"Keefe, D.F.",tangible interaction
"Keefe, D.F.",microscopy visualization
Wei-Hsien Hsu,Camera motion planning
Wei-Hsien Hsu,volume rendering
Wei-Hsien Hsu,visualization
Wei-Hsien Hsu,animation
Yubo Zhang,Camera motion planning
Yubo Zhang,volume rendering
Yubo Zhang,visualization
Yubo Zhang,animation
Kwan-Liu Ma,Camera motion planning
Kwan-Liu Ma,volume rendering
Kwan-Liu Ma,visualization
Kwan-Liu Ma,animation
"Isenberg, T.",Evaluation
"Isenberg, T.",validation
"Isenberg, T.",systematic review
"Isenberg, T.",visualization
"Isenberg, T.",scientific visualization
"Isenberg, T.",information visualization
"Isenberg, P.",Evaluation
"Isenberg, P.",validation
"Isenberg, P.",systematic review
"Isenberg, P.",visualization
"Isenberg, P.",scientific visualization
"Isenberg, P.",information visualization
Jian Chen,Evaluation
Jian Chen,validation
Jian Chen,systematic review
Jian Chen,visualization
Jian Chen,scientific visualization
Jian Chen,information visualization
"Sedlmair, M.",Evaluation
"Sedlmair, M.",validation
"Sedlmair, M.",systematic review
"Sedlmair, M.",visualization
"Sedlmair, M.",scientific visualization
"Sedlmair, M.",information visualization
"Moller, T.",Evaluation
"Moller, T.",validation
"Moller, T.",systematic review
"Moller, T.",visualization
"Moller, T.",scientific visualization
"Moller, T.",information visualization
"Papadopoulos, C.",Gigapixel visualization
"Papadopoulos, C.",visual acuity
"Papadopoulos, C.",focus and context
"Papadopoulos, C.",Reality Deck
"Papadopoulos, C.",gigapixel display
"Kaufman, A.",Gigapixel visualization
"Kaufman, A.",visual acuity
"Kaufman, A.",focus and context
"Kaufman, A.",Reality Deck
"Kaufman, A.",gigapixel display
"Barakat, S.S.",Lagrangian flow visualization
"Barakat, S.S.",flow map
"Barakat, S.S.",edge features
"Barakat, S.S.",scattered data interpolation
"Barakat, S.S.",sparse sampling
"Barakat, S.S.",adaptive refinement
"Barakat, S.S.",parallel reconstruction
"Tricoche, X.",Lagrangian flow visualization
"Tricoche, X.",flow map
"Tricoche, X.",edge features
"Tricoche, X.",scattered data interpolation
"Tricoche, X.",sparse sampling
"Tricoche, X.",adaptive refinement
"Tricoche, X.",parallel reconstruction
"Ament, M.",Direct volume rendering
"Ament, M.",volume illumination
"Ament, M.",ambient scattering
"Ament, M.",preintegrated light transport
"Ament, M.",gradient-free shading
"Sadlo, F.",Direct volume rendering
"Sadlo, F.",volume illumination
"Sadlo, F.",ambient scattering
"Sadlo, F.",preintegrated light transport
"Sadlo, F.",gradient-free shading
"Weiskopf, D.",Direct volume rendering
"Weiskopf, D.",volume illumination
"Weiskopf, D.",ambient scattering
"Weiskopf, D.",preintegrated light transport
"Weiskopf, D.",gradient-free shading
"Doraiswamy, H.",Cloud clusters
"Doraiswamy, H.",tracking
"Doraiswamy, H.",computational topology
"Doraiswamy, H.",split tree
"Doraiswamy, H.",weather and climate simulations
"Natarajan, V.",Cloud clusters
"Natarajan, V.",tracking
"Natarajan, V.",computational topology
"Natarajan, V.",split tree
"Natarajan, V.",weather and climate simulations
"Nanjundiah, R.S.",Cloud clusters
"Nanjundiah, R.S.",tracking
"Nanjundiah, R.S.",computational topology
"Nanjundiah, R.S.",split tree
"Nanjundiah, R.S.",weather and climate simulations
"Biswas, A.",Information theory
"Biswas, A.",framework
"Biswas, A.",isosurface
"Biswas, A.",multivariate uncertainty
"Dutta, S.",Information theory
"Dutta, S.",framework
"Dutta, S.",isosurface
"Dutta, S.",multivariate uncertainty
Han-Wei Shen,Information theory
Han-Wei Shen,framework
Han-Wei Shen,isosurface
Han-Wei Shen,multivariate uncertainty
"Woodring, J.",Information theory
"Woodring, J.",framework
"Woodring, J.",isosurface
"Woodring, J.",multivariate uncertainty
Xin Zhao,Area-preservation mapping
Xin Zhao,surface flattening
Xin Zhao,optimal transport map
Xin Zhao,Monge-Brenier theory
Xin Zhao,visualization and graphics applications
Zhengyu Su,Area-preservation mapping
Zhengyu Su,surface flattening
Zhengyu Su,optimal transport map
Zhengyu Su,Monge-Brenier theory
Zhengyu Su,visualization and graphics applications
"Gu, X.",Area-preservation mapping
"Gu, X.",surface flattening
"Gu, X.",optimal transport map
"Gu, X.",Monge-Brenier theory
"Gu, X.",visualization and graphics applications
"Kaufman, A.",Area-preservation mapping
"Kaufman, A.",surface flattening
"Kaufman, A.",optimal transport map
"Kaufman, A.",Monge-Brenier theory
"Kaufman, A.",visualization and graphics applications
Jian Sun,Area-preservation mapping
Jian Sun,surface flattening
Jian Sun,optimal transport map
Jian Sun,Monge-Brenier theory
Jian Sun,visualization and graphics applications
Jie Gao,Area-preservation mapping
Jie Gao,surface flattening
Jie Gao,optimal transport map
Jie Gao,Monge-Brenier theory
Jie Gao,visualization and graphics applications
Feng Luo,Area-preservation mapping
Feng Luo,surface flattening
Feng Luo,optimal transport map
Feng Luo,Monge-Brenier theory
Feng Luo,visualization and graphics applications
"Gosink, L.",Uncertainty visualization
"Gosink, L.",numerical ensembles
"Gosink, L.",statistical visualization
"Bensema, K.",Uncertainty visualization
"Bensema, K.",numerical ensembles
"Bensema, K.",statistical visualization
"Pulsipher, T.",Uncertainty visualization
"Pulsipher, T.",numerical ensembles
"Pulsipher, T.",statistical visualization
"Obermaier, H.",Uncertainty visualization
"Obermaier, H.",numerical ensembles
"Obermaier, H.",statistical visualization
"Henry, M.",Uncertainty visualization
"Henry, M.",numerical ensembles
"Henry, M.",statistical visualization
"Childs, H.",Uncertainty visualization
"Childs, H.",numerical ensembles
"Childs, H.",statistical visualization
"Joy, K.I.",Uncertainty visualization
"Joy, K.I.",numerical ensembles
"Joy, K.I.",statistical visualization
"Gurijala, K.C.",Colon flattening
"Gurijala, K.C.",heat diffusion
"Gurijala, K.C.",virtual colonoscopy
"Gurijala, K.C.",volume rendering
"Gurijala, K.C.",topological noise
"Gurijala, K.C.",shape-preserving mapping
Rui Shi,Colon flattening
Rui Shi,heat diffusion
Rui Shi,virtual colonoscopy
Rui Shi,volume rendering
Rui Shi,topological noise
Rui Shi,shape-preserving mapping
Wei Zeng,Colon flattening
Wei Zeng,heat diffusion
Wei Zeng,virtual colonoscopy
Wei Zeng,volume rendering
Wei Zeng,topological noise
Wei Zeng,shape-preserving mapping
Xianfeng Gu,Colon flattening
Xianfeng Gu,heat diffusion
Xianfeng Gu,virtual colonoscopy
Xianfeng Gu,volume rendering
Xianfeng Gu,topological noise
Xianfeng Gu,shape-preserving mapping
"Kaufman, A.",Colon flattening
"Kaufman, A.",heat diffusion
"Kaufman, A.",virtual colonoscopy
"Kaufman, A.",volume rendering
"Kaufman, A.",topological noise
"Kaufman, A.",shape-preserving mapping
"Hummel, M.",Ensemble
"Hummel, M.",flow field
"Hummel, M.",time-varying
"Hummel, M.",comparison
"Hummel, M.",visualization
"Hummel, M.",Lagrangian
"Hummel, M.",variance
"Hummel, M.",principal components analysis
"Obermaier, H.",Ensemble
"Obermaier, H.",flow field
"Obermaier, H.",time-varying
"Obermaier, H.",comparison
"Obermaier, H.",visualization
"Obermaier, H.",Lagrangian
"Obermaier, H.",variance
"Obermaier, H.",principal components analysis
"Garth, C.",Ensemble
"Garth, C.",flow field
"Garth, C.",time-varying
"Garth, C.",comparison
"Garth, C.",visualization
"Garth, C.",Lagrangian
"Garth, C.",variance
"Garth, C.",principal components analysis
"Joy, K.I.",Ensemble
"Joy, K.I.",flow field
"Joy, K.I.",time-varying
"Joy, K.I.",comparison
"Joy, K.I.",visualization
"Joy, K.I.",Lagrangian
"Joy, K.I.",variance
"Joy, K.I.",principal components analysis
"Beyer, J.",Connectomics
"Beyer, J.",neuroscience
"Beyer, J.",query algebra
"Beyer, J.",visual knowledge discovery
"Beyer, J.",petascale volume analysis
"Al-Awami, A.",Connectomics
"Al-Awami, A.",neuroscience
"Al-Awami, A.",query algebra
"Al-Awami, A.",visual knowledge discovery
"Al-Awami, A.",petascale volume analysis
"Kasthuri, N.",Connectomics
"Kasthuri, N.",neuroscience
"Kasthuri, N.",query algebra
"Kasthuri, N.",visual knowledge discovery
"Kasthuri, N.",petascale volume analysis
"Lichtman, J.",Connectomics
"Lichtman, J.",neuroscience
"Lichtman, J.",query algebra
"Lichtman, J.",visual knowledge discovery
"Lichtman, J.",petascale volume analysis
"Pfister, H.",Connectomics
"Pfister, H.",neuroscience
"Pfister, H.",query algebra
"Pfister, H.",visual knowledge discovery
"Pfister, H.",petascale volume analysis
"Hadwiger, M.",Connectomics
"Hadwiger, M.",neuroscience
"Hadwiger, M.",query algebra
"Hadwiger, M.",visual knowledge discovery
"Hadwiger, M.",petascale volume analysis
"Whitaker, R.T.",Uncertainty visualization
"Whitaker, R.T.",boxplots
"Whitaker, R.T.",band depth
"Whitaker, R.T.",ensemble visualization
"Whitaker, R.T.",order statistics
"Mirzargar, M.",Uncertainty visualization
"Mirzargar, M.",boxplots
"Mirzargar, M.",band depth
"Mirzargar, M.",ensemble visualization
"Mirzargar, M.",order statistics
"Kirby, R.M.",Uncertainty visualization
"Kirby, R.M.",boxplots
"Kirby, R.M.",band depth
"Kirby, R.M.",ensemble visualization
"Kirby, R.M.",order statistics
Hanqi Guo,Ensemble analysis
Hanqi Guo,parallel processing
Hanqi Guo,field line advection
Xiaoru Yuan,Ensemble analysis
Xiaoru Yuan,parallel processing
Xiaoru Yuan,field line advection
Jian Huang,Ensemble analysis
Jian Huang,parallel processing
Jian Huang,field line advection
Xiaomin Zhu,Ensemble analysis
Xiaomin Zhu,parallel processing
Xiaomin Zhu,field line advection
"Coffey, D.",Design
"Coffey, D.",simulation
"Coffey, D.",direct manipulation
"Coffey, D.",multi-touch
Chi-Lun Lin,Design
Chi-Lun Lin,simulation
Chi-Lun Lin,direct manipulation
Chi-Lun Lin,multi-touch
"Erdman, A.G.",Design
"Erdman, A.G.",simulation
"Erdman, A.G.",direct manipulation
"Erdman, A.G.",multi-touch
"Keefe, D.F.",Design
"Keefe, D.F.",simulation
"Keefe, D.F.",direct manipulation
"Keefe, D.F.",multi-touch
"Thomas, D.M.",Scalar field visualization
"Thomas, D.M.",extremum graph
"Thomas, D.M.",Morse decomposition
"Thomas, D.M.",symmetry detection
"Thomas, D.M.",data exploration
"Natarajan, V.",Scalar field visualization
"Natarajan, V.",extremum graph
"Natarajan, V.",Morse decomposition
"Natarajan, V.",symmetry detection
"Natarajan, V.",data exploration
Teng-Yok Lee,WaveletSAT
Teng-Yok Lee,integral histograms
Teng-Yok Lee,discrete wavelet transform
Han-Wei Shen,WaveletSAT
Han-Wei Shen,integral histograms
Han-Wei Shen,discrete wavelet transform
"Froese, M.-E.",Spatial ability
"Froese, M.-E.",3D visualization
"Froese, M.-E.",training
"Froese, M.-E.",evaluation
"Froese, M.-E.",orthographic projection
"Froese, M.-E.",CAD
"Tory, M.",Spatial ability
"Tory, M.",3D visualization
"Tory, M.",training
"Tory, M.",evaluation
"Tory, M.",orthographic projection
"Tory, M.",CAD
"Evans, G.-W.",Spatial ability
"Evans, G.-W.",3D visualization
"Evans, G.-W.",training
"Evans, G.-W.",evaluation
"Evans, G.-W.",orthographic projection
"Evans, G.-W.",CAD
"Shrikhande, K.",Spatial ability
"Shrikhande, K.",3D visualization
"Shrikhande, K.",training
"Shrikhande, K.",evaluation
"Shrikhande, K.",orthographic projection
"Shrikhande, K.",CAD
"Parulek, J.",Molecular visualization
"Parulek, J.",geometry-based techniques
"Parulek, J.",implicit surfaces
"Brambilla, A.",Molecular visualization
"Brambilla, A.",geometry-based techniques
"Brambilla, A.",implicit surfaces
"Ehlke, M.",Digitally reconstructed radiographs
"Ehlke, M.",volume rendering
"Ehlke, M.",mesh deformation
"Ehlke, M.",statistical shape and intensity models
"Ehlke, M.",image registration
"Ehlke, M.",GPU acceleration
"Ramm, H.",Digitally reconstructed radiographs
"Ramm, H.",volume rendering
"Ramm, H.",mesh deformation
"Ramm, H.",statistical shape and intensity models
"Ramm, H.",image registration
"Ramm, H.",GPU acceleration
"Lamecker, H.",Digitally reconstructed radiographs
"Lamecker, H.",volume rendering
"Lamecker, H.",mesh deformation
"Lamecker, H.",statistical shape and intensity models
"Lamecker, H.",image registration
"Lamecker, H.",GPU acceleration
"Hege, H.-C.",Digitally reconstructed radiographs
"Hege, H.-C.",volume rendering
"Hege, H.-C.",mesh deformation
"Hege, H.-C.",statistical shape and intensity models
"Hege, H.-C.",image registration
"Hege, H.-C.",GPU acceleration
"Zachow, S.",Digitally reconstructed radiographs
"Zachow, S.",volume rendering
"Zachow, S.",mesh deformation
"Zachow, S.",statistical shape and intensity models
"Zachow, S.",image registration
"Zachow, S.",GPU acceleration
"Maries, A.",Design studies
"Maries, A.",methodology design
"Maries, A.",task and requirements analysis
"Maries, A.",integrating spatial and non-spatial data visualization
"Maries, A.",visual comparison
"Maries, A.",high-dimensional data
"Maries, A.",applications of visualization
"Mays, N.",Design studies
"Mays, N.",methodology design
"Mays, N.",task and requirements analysis
"Mays, N.",integrating spatial and non-spatial data visualization
"Mays, N.",visual comparison
"Mays, N.",high-dimensional data
"Mays, N.",applications of visualization
"Hunt, M.O.",Design studies
"Hunt, M.O.",methodology design
"Hunt, M.O.",task and requirements analysis
"Hunt, M.O.",integrating spatial and non-spatial data visualization
"Hunt, M.O.",visual comparison
"Hunt, M.O.",high-dimensional data
"Hunt, M.O.",applications of visualization
"Wong, K.F.",Design studies
"Wong, K.F.",methodology design
"Wong, K.F.",task and requirements analysis
"Wong, K.F.",integrating spatial and non-spatial data visualization
"Wong, K.F.",visual comparison
"Wong, K.F.",high-dimensional data
"Wong, K.F.",applications of visualization
"Layton, W.",Design studies
"Layton, W.",methodology design
"Layton, W.",task and requirements analysis
"Layton, W.",integrating spatial and non-spatial data visualization
"Layton, W.",visual comparison
"Layton, W.",high-dimensional data
"Layton, W.",applications of visualization
"Boudreau, R.",Design studies
"Boudreau, R.",methodology design
"Boudreau, R.",task and requirements analysis
"Boudreau, R.",integrating spatial and non-spatial data visualization
"Boudreau, R.",visual comparison
"Boudreau, R.",high-dimensional data
"Boudreau, R.",applications of visualization
"Rosano, C.",Design studies
"Rosano, C.",methodology design
"Rosano, C.",task and requirements analysis
"Rosano, C.",integrating spatial and non-spatial data visualization
"Rosano, C.",visual comparison
"Rosano, C.",high-dimensional data
"Rosano, C.",applications of visualization
"Marai, G.E.",Design studies
"Marai, G.E.",methodology design
"Marai, G.E.",task and requirements analysis
"Marai, G.E.",integrating spatial and non-spatial data visualization
"Marai, G.E.",visual comparison
"Marai, G.E.",high-dimensional data
"Marai, G.E.",applications of visualization
"Kretschmer, J.",Surface modeling
"Kretschmer, J.",vascular visualization
"Kretschmer, J.",centerline-based modeling
"Godenschwager, C.",Surface modeling
"Godenschwager, C.",vascular visualization
"Godenschwager, C.",centerline-based modeling
"Preim, B.",Surface modeling
"Preim, B.",vascular visualization
"Preim, B.",centerline-based modeling
"Stamminger, M.",Surface modeling
"Stamminger, M.",vascular visualization
"Stamminger, M.",centerline-based modeling
Yubo Zhang,Global illumination
Yubo Zhang,lighting design
Yubo Zhang,volume rendering
Yubo Zhang,tone mapping
Kwan-Liu Ma,Global illumination
Kwan-Liu Ma,lighting design
Kwan-Liu Ma,volume rendering
Kwan-Liu Ma,tone mapping
"Rungta, A.",Visualization environments
"Rungta, A.",integrated applications
"Rungta, A.",macros
"Rungta, A.",linked views
"Summa, B.",Visualization environments
"Summa, B.",integrated applications
"Summa, B.",macros
"Summa, B.",linked views
"Demir, D.",Visualization environments
"Demir, D.",integrated applications
"Demir, D.",macros
"Demir, D.",linked views
"Bremer, P.-T.",Visualization environments
"Bremer, P.-T.",integrated applications
"Bremer, P.-T.",macros
"Bremer, P.-T.",linked views
"Pascucci, V.",Visualization environments
"Pascucci, V.",integrated applications
"Pascucci, V.",macros
"Pascucci, V.",linked views
"Reh, A.",3D X-ray computed tomography
"Reh, A.",carbon fiber reinforced polymers
"Reh, A.",porosity
"Reh, A.",parameter space analysis
"Reh, A.",MObjects
"Gusenbauer, C.",3D X-ray computed tomography
"Gusenbauer, C.",carbon fiber reinforced polymers
"Gusenbauer, C.",porosity
"Gusenbauer, C.",parameter space analysis
"Gusenbauer, C.",MObjects
"Kastner, J.",3D X-ray computed tomography
"Kastner, J.",carbon fiber reinforced polymers
"Kastner, J.",porosity
"Kastner, J.",parameter space analysis
"Kastner, J.",MObjects
"Groller, E.",3D X-ray computed tomography
"Groller, E.",carbon fiber reinforced polymers
"Groller, E.",porosity
"Groller, E.",parameter space analysis
"Groller, E.",MObjects
"Heinzl, C.",3D X-ray computed tomography
"Heinzl, C.",carbon fiber reinforced polymers
"Heinzl, C.",porosity
"Heinzl, C.",parameter space analysis
"Heinzl, C.",MObjects
"Khlebnikov, R.",Volume rendering
"Khlebnikov, R.",multi-variate data visualization
"Khlebnikov, R.",multi-volume rendering
"Khlebnikov, R.",scientific visualization
"Kainz, B.",Volume rendering
"Kainz, B.",multi-variate data visualization
"Kainz, B.",multi-volume rendering
"Kainz, B.",scientific visualization
"Steinberger, M.",Volume rendering
"Steinberger, M.",multi-variate data visualization
"Steinberger, M.",multi-volume rendering
"Steinberger, M.",scientific visualization
"Schmalstieg, D.",Volume rendering
"Schmalstieg, D.",multi-variate data visualization
"Schmalstieg, D.",multi-volume rendering
"Schmalstieg, D.",scientific visualization
"Kohler, B.",4D pc-mri
"Kohler, B.",cardiac blood flow
"Kohler, B.",hemodynamics
"Kohler, B.",line predicates
"Kohler, B.",vortex extraction
"Gasteiger, R.",4D pc-mri
"Gasteiger, R.",cardiac blood flow
"Gasteiger, R.",hemodynamics
"Gasteiger, R.",line predicates
"Gasteiger, R.",vortex extraction
"Preim, U.",4D pc-mri
"Preim, U.",cardiac blood flow
"Preim, U.",hemodynamics
